ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_FilteredBV,Parent_Islets
35,84,81,83,180,1.72905500033642,0.940368173948418,1,0.482142857142857,0.564805050828865,17.9482651686708,16.4012194668567,3,1.63873989217049,1.4142135623731,5.6,6.10525211608316,39.1090531023056,42.452,0.952941176470588,0.383391833173042,0.00448012591292341,0.129134547875394,0.101239673195211,0.0126835275568365,0.0143219309835166,0.0426147913047888,0.0558060562263831,0.0440123677532866,0.0116548348958289,0.00319440461231009,0.0145829158771478,0.0079653009510658,0.027601686721892,0.0139327031032765,0.0236422431648708,0.00531776223829605,0.00775620142206837,0.00485200941328498,0.0117630327846543,0.0150186470344952,0.00626625977553781,0.00914109922136496,0.00367414500269169,0.0146955467684139,0.00455334856191769,0.00215235094705156,0.00658110985168628,0.00255850775191,0.00884566810875683,80.5925925925926,178.024691358025,84,94,0
35,122,244,26,257,5.33705337383806,0.957274218472102,2,0.276643990929705,0.183152010612165,55.2939040964,48.3735464897913,3.16227766016838,1.64235817437242,1.4142135623731,15.8302245712138,15.9899866235205,-2.14008114276411,129.388,0.428070175438597,0.132765149109137,0.033963191903419,0.0213146010717737,0.0329252334182792,0.0362662818480287,0.0109940368800834,0.013198852380949,0.0091497149393819,0.0218713313810799,0.0206776120626225,0.013818128584591,0.00870724504106837,0.0228508923497432,0.0176573744512828,0.00646221494473569,0.0146433892261131,0.00264978338963204,0.00283776815859794,0.013696971706878,0.00724989685273374,0.00889332918957691,0.017681917095089,0.00536202425684374,0.00294927196438585,0.0104895271464018,0.0117080037685149,0.00679667453667065,0.00928044975152515,0.00873437318970037,0.00607775510943963,22.0040983606557,262.143442622951,122,145,0
37,32,50,12,51,1.47378394565204,0.897633378874229,1,0.54945054945055,0.590344404903072,12.6181685133739,12.6491106406735,2.82842712474619,1.42787086646191,1.20710678118655,5.29513564873097,5.56136837266212,-21.9756399788696,32.624,0.840336134453782,0.397887357729738,0.0686860074057762,0.140852124636327,0.0742611745694418,0.0608103011153609,0.0170679879697647,0.0289264109069519,0.0244329081249494,0.0373776419441312,0.0224973575969813,0.01919009481772,0.00681074403083079,0.0174573078203922,0.017893371579472,0.00684402320115729,0.0265592673750646,0.00687628098665097,0.00775123905954959,0.0079402966133542,0.00451475890382289,0.0135851177908859,0.0196372796351983,0.0165580138938927,0.000720762734951291,0.0207975912174411,0.00960647006443513,0.00729474656430595,0.00749480287911797,0.00342459712810246,0.00348378881718708,13.84,50.08,32,32,0
37,76,32,91,139,1.11673801358075,0.76185033195146,1,0.666666666666667,0.778598992946303,8.09667098900761,7.28010988928052,2.23606797749979,1.37011771395659,1,4.47213595499958,5.24464368997253,-10.9007047431759,22.726,0.864864864864865,0.7687484043684,0.11805959771935,0.0725234343743774,0.121571429122995,0.00939799978194337,0.0324487610427066,0.0544609941150984,0.0723327742415474,0.0690926267756871,0.030073192602655,0.035265197036422,0.033125636715388,0.0797525413963873,0.0810407810628589,0.0546070901721627,0.0278519288811735,0.0334750037095654,0.00960216677719429,0.0102078151903193,0.0102314976086714,0.0756777412334695,0.0817886319235427,0.0424063006298079,0.0293411652471059,0.0202023890139783,0.0320362504667504,0.0241070717516232,0.0228333965666853,0.0465620929778879,0.0243434962209241,92.25,138.5,76,77,0
43,11,26,178,25,1.25620807745955,0.867634893939174,1,0.65,0.773375674163651,8.25969458063351,7.28010988928052,2,1.28789543747071,1,3.47850542618522,4.10673551875362,69.8990568979419,20.554,0.912280701754386,0.624608078549325,0.0515455558654472,0.126009467225481,0.147666354568623,0.0320721706407626,0.0255126833566036,0.0484572852789176,0.0137435408884623,0.0597444887970809,0.00141441370095609,0.00926062813135728,0.0189778405718717,0.0584683075924333,0.0391606061982134,0.0541094900669682,0.0299537517553247,0.018065631328786,0.0180247923651087,0.0195072965016921,0.015737726300272,0.0501685717690101,0.0621283035898733,0.0500514227845024,0.0658822299417083,0.0274341033503666,0.0118369086504066,0.0135039503614631,0.0122840014433007,0.0146079230514722,0.0153590161600447,177.807692307692,24.7307692307692,11,12,0
43,94,50,591,223,2.1413095526868,0.957278300281926,1,0.446428571428571,0.413774416802956,15.9351947595311,13.9283882771841,2.23606797749979,1.28529106237207,1,4.45668811624924,4.60795180343463,21.3201656702263,38.968,0.806451612903226,0.326794295841697,0.0521165255955427,0.0814913010867116,0.104702684208449,0.0124555076439517,0.0209907167410921,0.0686693547336641,0.0263532271195683,0.0539967072067319,0.012274489987258,0.0063671990453703,0.00567287152344002,0.0118090874020785,0.0342885195667923,0.0109924839902194,0.0263332966700012,0.00767262254104661,0.00449529570930779,0.0045880046154679,0.0107957982631339,0.0237371084852498,0.00917455632930159,0.0238408289533242,0.0024318451583456,0.010320825946358,0.0011208425592038,0.00846388213030214,0.00300204153933583,0.00379387624013361,0.016058554548479,587.44,221.08,94,108,0
46,94,13,165,423,1.11535833855259,0.830910305891879,1,0.866666666666667,0.876004223637432,5.40937419123968,4.47213595499958,2,1.14064824036509,1,2,3.00981033056662,-14.8724406484711,13.656,0.962962962962963,0.827605704077856,1.76697482303529e-17,0.0636619772367582,0.205303707699624,1.27418366538153e-17,3.1460092307577e-17,0.0942197263104018,0.140495507801729,0.123182224619774,1.13141593163109e-17,3.82255099614458e-17,2.70439522982978e-17,0.180800015352393,0.107917848999064,0.123182224619774,0.0701646259005263,1.41357985842823e-17,1.45708476663631e-17,6.17177772671174e-17,8.57668469972064e-17,0.0942197263104006,0.104338990593897,0.172429122413207,0.164511725709159,0.0837639127414464,3.9756933518294e-18,3.41373865347224e-17,6.40025502079069e-17,1.31518014506884e-16,5.66751536461163e-17,165,423,94,105,2
55,13,57,258,54,1.82321044552017,0.927480054093954,1,0.475,0.418274864264695,15.3138808358151,14.2126704035519,2.82842712474619,1.34949837487887,1,5.4,5.72544102226992,54.1881639373463,41.382,0.870229007633588,0.359280465593586,0.0597937944295136,0.10403344383264,0.0831184924738585,0.062901686607306,0.0167600396622183,0.0157100281494881,0.0267470509989824,0.0405757698987948,0.0290921966108062,0.0261956588598055,0.00391322939218682,0.00901158549979534,0.00519287466545447,0.00484621879386898,0.0267402008282993,0.00550304995332562,0.0115066678528591,0.00681012349307373,0.00130180510706794,0.0104967031017315,0.0132059343785804,0.0179102627937719,0.00641705844223936,0.0198135892013598,0.00379778118953299,0.00881865765063542,0.0051611680574868,0.00257768273126039,0.00132543614137098,258.087719298246,55.4736842105263,13,19,0
74,25,49,447,105,1.69692840525907,0.93344287635777,1,0.510416666666667,0.609061247122233,13.7766401210982,12.5299640861417,2.23606797749979,1.39433623492306,1,4.3412157106223,4.94204003141536,61.4118174275316,31.796,0.875,0.39738049485365,0.0783686628730096,0.0985057329632015,0.0905734010180153,0.0692031766010478,0.0374153538779866,0.00395636404557967,0.0249938012909086,0.0361954767946115,0.0296291085216266,0.0329921984802259,0.0161286725730284,0.0159731907565846,0.0057699607712464,0.00491965422688865,0.0213267731916939,0.0094507798677048,0.00467043137522946,0.00866751628831969,0.00669435009583443,0.0148016367617624,0.0149306154042834,0.0128648417090405,0.0106278655188927,0.016754725037017,0.00457883897646129,0.00333721503163326,0.0108289287814148,0.00147388180592777,0.00216986374112073,446.081632653061,102.326530612245,25,26,0
76,62,30,340,284,1.10421164009508,0.734449453296006,1,0.612244897959184,0.781178134955335,7.6898062082304,6.70820393249937,2.23606797749979,1.38313494621612,1.20710678118655,4.24264068711929,5.21878997026859,53.2229785428214,21.968,0.895522388059702,0.838474822142656,0.0667705220331013,0.0515355256536558,0.145230979049025,0.0369735160078547,0.0282802569447404,0.053171574087088,0.0498706602723879,0.0363172108617634,0.0354227775765615,0.0235356042588822,0.0420296885135362,0.0836493753382126,0.0335515436669807,0.0333830018691993,0.0543024262248282,0.0396982734284007,0.0216533507787022,0.0757254742629484,0.0331555175031372,0.0673698756504232,0.0498546009145636,0.0198633700890506,0.0543791021561522,0.0364438193807005,0.0240356332262939,0.0265578739657368,0.0709716482734696,0.0712835508013561,0.0326941899835932,339.1,283.866666666667,62,66,0
